DepartmentID,DepartmentName,URL,PhoneNumber,Email,CityLocation,StateLocation
1,OtEvQySZeet,YRbxkgpmIlXgewPWFjII,695,undefined.undefined@gmail.com,Tartu,"Tanzania, United Republic of"
2,TGunkSEKcdpgDIC,qggjKAZTcjt,109,undefined.undefined@gmail.com,Charlotte Amalie,British Indian Ocean Territory
3,iCdxGTvuFzFegeuxOBFc,XMjOhCSjzMosIwZX xn,932,undefined.undefined@gmail.com,Colombo,"Macedonia, The Former Yugoslav Republic of"
4,LROfMGddWGvWo,ZTznlWuZLjvpCi,858,undefined.undefined@gmail.com,Berlin,Norfolk Island
5,HvEsVendDFmOmpG,BoziWRaiPagfWoe,522,undefined.undefined@gmail.com,Zapopan,Brazil
6,VIfaFDLKRaWiE,fxvFYQZei EVjGb,620,undefined.undefined@gmail.com,Santiago de Cuba,Zimbabwe
7,GLq jIp osub,yNCirWhJVzOOCpDcFeCf,822,undefined.undefined@gmail.com,Pago Pago,Denmark
8,XNDnpSCDtBRCGr,il XBqfWxnqOolAQkuR,528,undefined.undefined@gmail.com,Sitka,"Taiwan, Province of China"
9,adNsnGSXLJc,bRzOwxkGeq,145,undefined.undefined@gmail.com,Kawasaki,Equatorial Guinea
10,MrUsabrCuJSTdELX,lUcdmwkAHwRglfKv,689,undefined.undefined@gmail.com,Vladivostok,Heard Island and Mcdonald Islands
11,wUubiovJNOyLntUdVG,wx MNuLBsFkyx,324,undefined.undefined@gmail.com,Chişinău,Iceland
12,KfdVGamPhApUKu,WTSNCczZsCNlEJzxjIJF,148,undefined.undefined@gmail.com,Gaziantep,Guadeloupe
13,xvdGOVatqwuoqw,PjWkYdHLThfT,554,undefined.undefined@gmail.com,Lusaka,Cayman Islands
14,nEgEuF TaRrqmsyw,"gUyUrJLnZeJPUj H ",768,undefined.undefined@gmail.com,Harbin,"Virgin Islands, British"
15,EppvdMoWxgM,lHnNIUDFNIyXDmiwy e,597,undefined.undefined@gmail.com,Dhaka,Paraguay
16,JzmfX rs XxqMijY,lxd aXxBxbfKjJS,270,undefined.undefined@gmail.com,Dar es Salaam,Liechtenstein
17,eCMQVWFUeSfdUenW," ZFsJZWggcR vrgrMf r",453,undefined.undefined@gmail.com,Petropavlovsk-Kamchatsky,Bahamas
18,bxhHHhmjsMcZ,R iKfFjplQhCU,836,undefined.undefined@gmail.com,Enugu,Peru
19,yXLbwnWdHmgZBV,QwQQdBUQHBMYklzxi,571,undefined.undefined@gmail.com,Greenwich,Cambodia
20,gvOQXaucQzWcrVMUQrS,emNTopdgRMizDqZwcJn,62,undefined.undefined@gmail.com,Campinas,"Virgin Islands, U.S."
21,pyVSJGDEgsgswMobsgtB,farPImmPrQqphTDLs,553,undefined.undefined@gmail.com,Managua,Ghana
22,zMAnGGlbpXFpmTLKib,oZbNYChEKRIptxWYWl,719,undefined.undefined@gmail.com,Chişinău,Vanuatu
23,eKin eFKPQ,FkRnDF ErcTCT,69,undefined.undefined@gmail.com,Bilbao,Macao
24,hqHphBAAtN,WlrTNUqWEzHtHqekEpn,752,undefined.undefined@gmail.com,Gothenburg,Ecuador
25,UZAOzcCRkUPLmFx,RIfBZwULxzkl,715,undefined.undefined@gmail.com,Porto-Novo,Uruguay
26,ePlHrttXBErSeG,nZYjpRVkmoIcNzx,27,undefined.undefined@gmail.com,Tirana,Israel
27,nvovihjM P,SDVRxjUUEakqECtV,111,undefined.undefined@gmail.com,Chicago,Reunion
